"Step number","Step name","Elapsed Time  (s)","DC Working Electrode (V)","DC Current (mA)","Frequency (Hz)","|Z| (Ohms)","Phase (deg)","Z' (Ohms)","-Z"" (Ohms)","THD (%)","Amplitude (mV/mA)","No of Cycles","Duration of Each Frequency (s)"
1_2,Potentiostatic EIS,69.52496347,-0.0002442890022,0.002467466041,995000,98.70388529,0.9607363266,98.69000952,-1.65499039,13.48619615,7.327044415,304,0.0003055276382
1_2,Potentiostatic EIS,71.16449777,-0.000301080387,0.0009547371549,634999.9375,99.03157867,0.1813104851,99.03108282,-0.313381435,0.511664656,9.43428097,196,0.0003086614477
1_2,Potentiostatic EIS,71.99100773,-0.0002871186903,0.0009263673262,398107.1563,99.42818484,-0.0865079726,99.42807151,0.1501214836,1.448245639,10.42178623,228,0.000572710127
1_2,Potentiostatic EIS,72.83529904,-0.0002688780984,0.0009536152168,251188.5938,99.64964939,-0.1433434814,99.64933753,0.2493047985,0.2579484789,9.970882608,199,0.0007922334252
1_2,Potentiostatic EIS,73.76976078,-0.0003560765338,0.00094662605,158489.3125,99.78065929,-0.4900841551,99.77700915,0.8534716558,0.6143369658,9.846039817,195,0.001230366874
1_2,Potentiostatic EIS,74.32012358,-0.0003449320067,0.0002562059194,99999.92188,99.97396019,-0.8678630908,99.96249172,1.514254507,0.229567566,10.07475544,203,0.002030001586
1_2,Potentiostatic EIS,74.70032366,-0.0003761076099,0.0002697450259,63095.70703,100.0099215,-1.379006048,99.98095616,2.406826003,0.2175347529,10.34756537,207,0.003280730334
1_2,Potentiostatic EIS,75.28200791,-0.0003410362677,0.0002622365425,39810.6875,100.0750033,-2.240165224,99.99852205,3.911761582,0.287023963,10.7146088,203,0.005099133242
1_2,Potentiostatic EIS,77.13717111,-0.0003716863288,-6.410074601e-06,25118.79492,99.94695909,-3.679181398,99.74096845,6.413567203,0.1280152295,8.146983715,204,0.008121408715
1_2,Potentiostatic EIS,78.89258323,-0.0003975985657,0.0002535237891,15848.875,100.4528505,-5.796750454,99.93917864,10.14572505,0.2061308887,10.90660951,204,0.01287157606
1_2,Potentiostatic EIS,82.16092511,-0.001277430531,0.0001651512958,9999.983398,101.2465283,-9.054768287,99.9848301,15.93402795,0.08392926022,7.925756323,205,0.02050003403
1_2,Potentiostatic EIS,85.25301202,0.0004828730561,0.0001880626635,6309.570801,103.1978703,-14.18757881,100.0501812,25.29351044,0.1257295611,10.98325908,133,0.02107908829
