"Step number","Step name","Elapsed Time  (s)","DC Working Electrode (V)","DC Current (mA)","Frequency (Hz)","|Z| (Ohms)","Phase (deg)","Z' (Ohms)","-Z"" (Ohms)","THD (%)","Amplitude (mV/mA)","No of Cycles","Duration of Each Frequency (s)"
1_2,Potentiostatic EIS,169.5785339,-0.0001991861709,9.609809747e-05,995000,100.3402452,2.618876242,100.2354469,-4.584756424,2.203080205,3.925112698,304,0.0003055276382
1_2,Potentiostatic EIS,170.8671951,-0.0002848434737,0.002570249023,634999.9375,99.55367173,0.8861472458,99.54176521,-1.53965433,3.563867034,6.717159915,196,0.0003086614477
1_2,Potentiostatic EIS,171.8302757,-0.0003478791326,3.710325204e-06,398107.1563,99.55578448,0.3326397571,99.55410669,-0.5779836877,0.3083610831,9.582157137,228,0.000572710127
1_2,Potentiostatic EIS,171.9914756,-0.0003541951722,-5.021000118e-06,251188.5938,99.98568124,-0.0988550818,99.98553242,0.1725098756,0.2655535115,9.849443319,199,0.0007922334252
1_2,Potentiostatic EIS,172.1747099,-0.0003512854815,1.04267293e-05,158489.3125,99.93660038,-0.430940536,99.93377367,0.7516491869,0.2372977367,9.802553665,195,0.001230366874
1_2,Potentiostatic EIS,172.4281921,-0.0003879194802,5.358897118e-06,99999.92188,100.0049184,-0.8564881081,99.99374514,1.494871597,0.1994737833,9.869581796,203,0.002030001586
1_2,Potentiostatic EIS,172.8090807,-0.000366497761,3.374504999e-06,63095.70703,100.1309547,-1.384895374,100.1017061,2.420028051,0.1515037633,10.05512851,207,0.003280730334
1_2,Potentiostatic EIS,173.3909802,-0.0003924960045,-2.949071187e-08,39810.6875,100.1745136,-2.247270077,100.0974699,3.928063693,0.1720697556,10.47641161,203,0.005099133242
1_2,Potentiostatic EIS,175.7028947,-0.000389698106,3.695060649e-06,25118.79492,100.0472292,-3.656908881,99.84352003,6.381189943,0.1580009231,7.997292927,204,0.008121408715
1_2,Potentiostatic EIS,177.8282706,-0.0002251834747,0.0002755670805,15848.875,100.566989,-5.801631147,100.0518679,10.16577589,0.3221644642,10.88463844,204,0.01287157606
1_2,Potentiostatic EIS,181.0874318,0.0005288533361,-0.0002278110597,9999.983398,101.2255615,-9.049264877,99.96565424,15.92112633,0.08296808321,7.878818871,205,0.02050003403
1_2,Potentiostatic EIS,184.1640474,0.000596122972,-0.000204635525,6309.570801,103.2032283,-14.17175825,100.0623564,25.26719534,0.1187357859,10.97334601,133,0.02107908829
1_2,Potentiostatic EIS,188.5034207,0.0006043493648,-0.000205852329,3981.054688,107.9509903,-21.90465433,100.1575713,40.27253678,0.1299097745,10.95283866,81,0.02034636707
1_2,Potentiostatic EIS,194.0428521,0.0003024315167,-0.0001997308225,2511.881836,119.0213785,-32.43796956,100.4507883,63.8414259,0.1284377374,10.94321174,50,0.01990539495
1_2,Potentiostatic EIS,194.6851836,0.0003017427157,-0.0002000622011,1584.889893,143.2183135,-45.05889499,101.1664899,101.3746844,0.2150447504,11.99523127,649,0.4094921692
1_2,Potentiostatic EIS,195.2409904,0.00029947531,-1.594164167e-07,999.9959717,190.8441762,-57.38263077,102.8700015,160.745956,0.0749730255,10.02061496,409,0.4090016476
1_2,Potentiostatic EIS,195.7151112,0.0003009570902,-8.379974285e-07,630.9564819,276.3142226,-67.25853861,106.8157629,254.8331658,0.08886373097,9.800707983,257,0.4073181073
1_2,Potentiostatic EIS,196.2474004,0.0002962911371,-2.403248325e-05,398.1054688,420.0982398,-73.87119176,116.7023234,403.5630048,0.1093064372,9.537399679,162,0.4069273414
1_2,Potentiostatic EIS,196.9004167,0.0002946438975,-2.316429677e-05,251.1878815,653.5365119,-77.48589669,141.6082404,638.0102497,0.2715749185,9.430038964,101,0.4020894615
1_2,Potentiostatic EIS,197.3788747,0.0002863770591,-2.456615683e-05,158.4892731,1025.163927,-78.58333283,202.9235002,1004.879659,0.2669010982,9.369945322,64,0.4038128181
1_2,Potentiostatic EIS,197.8619676,0.0002857507649,-2.39461292e-05,99.99930573,1607.925172,-77.29399181,353.6607303,1568.549472,0.2542827289,9.346263026,40,0.4000027771
1_2,Potentiostatic EIS,198.4703872,0.0002902206181,1.24459079e-05,63.09564972,2498.164427,-73.44439623,711.8412503,2394.599661,0.6014290633,9.337633957,25,0.3962238302
1_2,Potentiostatic EIS,199.0195587,0.0002919512001,1.358456868e-05,39.81058502,3785.373352,-66.55755229,1505.926383,3472.929188,0.1585637276,8.633645526,16,0.401903162
1_2,Potentiostatic EIS,199.5402905,0.0002925015056,1.418450532e-05,25.11878777,5447.281976,-56.44167602,3011.17876,4539.348345,0.1138769685,9.51090077,10,0.3981083838
1_2,Potentiostatic EIS,201.54771,0.0003082826489,1.317205852e-05,15.84885502,7197.478809,-43.97990323,5179.186351,4997.972583,0.2882645283,9.112758652,6,0.3785762437
1_2,Potentiostatic EIS,202.1900921,0.000296118324,1.195983843e-05,9.999984741,8579.304953,-31.47369543,7317.117216,4479.315698,0.3085842498,9.235927872,4,0.4000006104
1_2,Potentiostatic EIS,202.8663241,0.0002920051276,1.187881278e-05,6.309528351,9403.722665,-21.17544807,8768.770861,3396.859955,0.2273411456,9.291357563,2,0.3169809039
1_2,Potentiostatic EIS,203.6621391,0.0002942137033,1.265593053e-05,3.981062889,9803.107412,-13.76625187,9521.509343,2332.76119,0.2178789444,9.309415228,2,0.5023783989
1_2,Potentiostatic EIS,204.898369,0.0002945519757,1.253615349e-05,2.511876583,9981.128054,-8.772294304,9864.371244,1522.201429,0.1015122693,9.32097646,2,0.7962174629
1_2,Potentiostatic EIS,206.832968,0.0002973218875,1.289882834e-05,1.584885478,10053.80642,-5.569202435,10006.34953,975.7011236,0.09883905063,9.330595882,2,1.261920831
1_2,Potentiostatic EIS,208.8483872,0.0003001016042,1.278591788e-05,0.9999951124,10083.33746,-3.487519263,10064.66385,613.3806548,0.09388689284,9.328188059,2,2.000009775
